#{"t_start": 1672841643.1367772, "env_id": null}
r,l,t
53,68,418.31705
54,69,419.474556
24,39,420.14627
32,43,420.877744
24,39,421.548167
24,39,422.223616
54,69,423.392031
24,39,424.063345
24,39,424.740215
29,40,425.42544
53,68,426.570923
28,39,427.237024
30,41,427.941885
24,39,428.610791
33,44,429.35662
24,39,430.026863
54,69,431.193358
54,69,432.35253
53,68,433.502105
28,39,434.17278
31,42,434.897029
53,68,436.046819
24,39,436.713406
24,39,437.378407
24,39,438.048298
54,69,439.204482
29,40,439.895757
31,42,440.618499
85,102,442.343747
32,43,443.082266
52,67,444.211703
24,39,444.881575
31,42,445.602187
53,68,446.748079
28,39,447.412376
1,12,447.641697
24,39,448.312233
28,39,448.977508
24,39,449.649929
24,39,450.321004
36,47,451.122731
24,39,451.797641
52,67,452.92176
24,39,453.594658
31,42,454.318224
52,67,455.450399
54,69,456.611302
52,67,457.745558
26,37,458.385601
54,69,459.544495
28,39,460.213259
53,68,461.362056
41,52,462.245444
36,47,463.046433
24,39,463.714786
28,39,464.381827
52,67,465.512272
24,39,466.184866
28,39,466.855052
31,42,467.578623
28,39,468.245444
53,68,469.39209
52,67,470.522928
24,39,471.197332
29,40,471.881454
24,39,472.555631
31,42,473.281949
52,67,474.411178
24,39,475.078557
28,39,475.750901
38,49,476.587488
24,39,477.252928
34,45,478.022569
30,41,478.727855
24,39,479.40123
54,69,480.562119
31,42,481.281277
30,41,481.984953
30,41,482.68537
28,39,483.358627
28,39,484.029238
54,69,485.186944
53,68,486.335414
24,39,487.008436
24,39,487.686052
54,69,488.847481
24,39,489.510861
29,40,490.196882
54,69,491.356424
28,39,492.028384
54,69,493.195373
31,42,493.911034
24,39,494.583009
28,39,495.254871
52,67,496.385792
54,69,497.555421
31,42,498.277413
24,39,498.948014
31,42,499.663335
32,43,500.402551
24,39,501.075362
31,42,501.794975
24,39,502.466374
30,41,503.162735
28,39,503.833132
54,69,504.996775
29,40,505.68763
24,39,506.359413
53,68,507.510335
28,39,508.184482
31,42,508.907924
29,40,509.59311
24,39,510.257828
30,41,510.959876
29,40,511.645305
24,39,512.314503
53,68,513.471811
28,39,514.143617
52,67,515.276597
29,40,515.959337
24,39,516.627285
53,68,517.775384
52,67,518.906887
24,39,519.576483
52,67,520.711504
28,39,521.383242
24,39,522.050418
32,43,522.785135
53,68,523.940537
24,39,524.610279
24,39,525.286821
30,41,525.993157
54,69,527.159786
24,39,527.8263
33,44,528.57468
52,67,529.700269
53,68,530.859805
52,67,531.993218
24,39,532.661685
54,69,533.820024
24,39,534.486425
24,39,535.158623
52,67,536.280987
30,41,536.982211
54,69,538.144553
53,68,539.293996
28,39,539.960367
24,39,540.626299
24,39,541.297619
52,67,542.431826
53,68,543.577135
54,69,544.741696
24,39,545.412279
53,68,546.556676
30,41,547.266425
52,67,548.403131
24,39,549.076566
52,67,550.212664
54,69,551.379043
52,67,552.50284
29,40,553.191802
54,69,554.362202
28,39,555.038426
53,68,556.188116
24,39,556.859429
52,67,557.986501
28,39,558.657681
53,68,559.81178
24,39,560.476215
30,41,561.182455
53,68,562.32615
52,67,563.44881
24,39,564.125383
24,39,564.793495
52,67,565.923778
26,37,566.566579
24,39,567.231273
26,37,567.87312
33,44,568.623836
33,44,569.376269
34,45,570.155392
24,39,570.823029
78,103,572.541518
54,69,573.707287
24,39,574.383608
24,39,575.061462
52,67,576.191714
26,37,576.82552
24,39,577.495427
28,39,578.165735
31,42,578.884732
20,39,579.558382
52,67,580.692724
29,40,581.37843
54,69,582.540378
24,39,583.210384
28,39,583.881244
32,43,584.615746
31,42,585.332814
53,68,586.482055
24,39,587.147796
54,69,588.310988
54,69,589.474379
52,67,590.603293
31,42,591.316687
24,39,591.982195
24,39,592.651715
29,40,593.327125
28,39,594.00206
52,67,595.130515
30,41,595.825884
24,39,596.497144
24,39,597.170263
54,69,598.338722
31,42,599.05943
30,41,599.762446
29,40,600.450283
32,43,601.182862
31,42,601.900887
52,67,603.028758
54,69,604.190523
29,40,604.875086
24,39,605.542424
28,39,606.208461
52,67,607.343181
34,45,608.108316
24,39,608.775075
23,38,609.425163
28,39,610.093404
24,39,610.76537
37,48,611.585336
24,39,612.255084
52,67,613.387371
53,68,614.533347
52,67,615.658239
28,39,616.330567
29,40,617.020594
30,41,617.718543
24,39,618.391914
54,69,619.545052
24,39,620.211645
52,67,621.341962
54,69,622.49929
52,67,623.625682
28,39,624.300823
29,40,624.984333
24,39,625.652236
52,67,626.774919
54,69,627.956383
29,40,628.645722
52,67,629.774738
30,41,630.474281
24,39,631.145432
24,39,631.8135
24,39,632.482802
29,40,633.173465
24,39,633.841738
33,44,634.592865
53,68,635.740519
28,39,636.413491
52,67,637.543079
52,67,638.675634
53,68,639.824636
29,40,640.508107
24,39,641.177933
31,42,641.900118
52,67,643.031019
24,39,643.70067
32,43,644.440232
54,69,645.601383
28,39,646.274511
53,68,647.422279
28,39,648.094394
24,39,648.768368
52,67,649.896609
53,68,651.042033
28,39,651.714459
31,42,652.434442
24,39,653.105541
77,94,654.680702
53,68,655.826584
53,68,656.974386
24,39,657.649812
54,69,658.809211
24,39,659.473287
24,39,660.140959
53,68,661.289389
29,40,661.97268
29,40,662.666223
37,48,663.491316
29,40,664.175377
24,39,664.846635
24,39,665.524176
24,39,666.195417
24,39,666.860254
33,44,667.610281
53,68,668.758345
24,39,669.418345
52,67,670.557407
28,39,671.232237
34,45,671.99652
24,39,672.663139
52,67,673.795366
24,39,674.460717
31,42,675.179464
31,42,675.892169
55,64,676.971653
24,39,677.639519
54,69,678.810363
28,39,679.47504
28,39,680.142364
53,68,681.28526
52,67,682.418693
29,40,683.104333
36,47,683.907284
97,110,685.739489
24,39,686.416097
53,68,687.547927
34,45,688.311662
52,67,689.436257
28,39,690.107605
24,39,690.775097
24,39,691.443302
28,39,692.113339
35,46,692.902105
27,38,693.557139
31,42,694.270922
24,39,694.938057
52,67,696.064823
24,39,696.732793
29,40,697.419291
54,69,698.586368
28,39,699.262553
24,39,699.936206
31,42,700.6567
29,40,701.342505
111,128,703.463094
54,69,704.625295
24,39,705.294336
54,69,706.453583
24,39,707.125504
24,39,707.799854
53,68,708.935945
24,39,709.606501
24,39,710.278125
28,39,710.948771
24,39,711.622313
24,39,712.294723
54,69,713.46359
34,45,714.240461
28,39,714.909404
53,68,716.054793
52,67,717.179183
52,67,718.308897
53,68,719.462462
28,39,720.128799
28,39,720.798307
35,46,721.581397
35,46,722.365758
29,40,723.051538
28,39,723.726216
24,39,724.397094
52,67,725.517365
34,45,726.287869
24,39,726.965868
54,69,728.136267
35,46,728.917698
31,42,729.638281
54,69,730.796143
54,69,731.956748
24,39,732.624066
24,39,733.294837
24,35,733.900814
53,68,735.036975
53,68,736.189489
32,43,736.923618
24,39,737.589736
29,40,738.278587
24,39,738.945299
31,42,739.665252
53,68,740.811561
24,39,741.472707
53,68,742.616603
24,39,743.278989
52,67,744.401539
52,67,745.533612
24,39,746.206203
52,67,747.326431
24,39,747.989617
24,39,748.661299
24,39,749.329509
24,39,750.003499
29,40,750.685185
28,39,751.355155
24,39,752.025482
24,39,752.68929
24,39,753.364643
24,35,753.964102
29,40,754.64297
28,39,755.308534
24,35,755.920179
24,39,756.589371
54,69,757.756026
54,69,758.920337
52,67,760.050442
52,67,761.177937
28,39,761.845854
52,67,762.983948
28,39,763.660654
52,67,764.785704
53,68,765.9274
96,109,767.733939
54,69,768.894737
52,67,770.024603
29,40,770.713001
53,68,771.869045
28,39,772.545247
24,39,773.213276
54,69,774.372076
24,35,774.978291
52,67,776.099809
30,41,776.800484
54,69,777.962274
52,67,779.086336
40,51,779.955267
24,39,780.618179
32,43,781.347486
24,39,782.017309
24,39,782.683553
28,39,783.346152
24,39,784.015368
29,40,784.699352
33,44,785.449046
30,41,786.147585
24,39,786.81437
24,39,787.484239
35,46,788.271377
24,39,788.938524
52,67,790.062943
24,39,790.733111
53,68,791.876179
24,39,792.550294
24,39,793.216224
52,67,794.340979
29,40,795.025288
24,39,795.695293
24,39,796.361852
30,41,797.063134
30,41,797.768523
27,38,798.425251
24,39,799.094266
54,69,800.257636
33,44,801.011425
53,68,802.155959
24,39,802.825254
24,39,803.487525
24,39,804.155073
24,39,804.825549
24,39,805.492754
28,39,806.160995
28,39,806.833034
53,68,807.977008
53,68,809.12188
24,39,809.790727
29,40,810.471535
24,39,811.147226
31,42,811.858769
24,39,812.526374
54,69,813.685342
24,39,814.353393
29,40,815.03944
52,67,816.171487
52,67,817.308813
28,39,817.973602
28,39,818.640674
32,43,819.372189
54,69,820.534066
31,42,821.254644
53,68,822.404705
24,39,823.071205
24,39,823.738499
30,41,824.440501
24,39,825.11392
24,39,825.779625
54,69,826.943642
29,40,827.622134
54,69,828.788359
24,39,829.459949
24,39,830.131748
24,39,830.795899
24,39,831.462816
54,69,832.620037
54,69,833.782711
28,39,834.45536
28,39,835.12455
24,39,835.801234
28,39,836.469795
52,67,837.594283
30,41,838.295324
53,68,839.43953
53,68,840.587243
24,39,841.253573
24,39,841.922546
24,39,842.589424
53,68,843.738243
54,69,844.900039
53,68,846.047737
65,74,847.288313
24,39,847.954046
24,39,848.62964
36,47,849.426347
52,67,850.922279
24,39,852.167142
52,67,854.182224
